filepath,role,version,status,notes
SOP_SSOT_merged_LOCK_v1.5.json,SSOT_lock,1.5.0,LOCK,"硬门/锚点/质量门统一；渲染消费、不改写"
SOP_SSOT_merge_0.3_1_stable.json,SSOT_stable,0.3.1,stable,"与 LOCK 兼容；历史稳定版"
SOP_SSOT_ONEFILE_v1.0.json,SSOT_single,1.0,draft,"早期一体化"
SOP_Output_Standard.json,Output_policy,5.0.0,stable,"轮次/检查/注解/净化；对学生可见结构"
MTV_schema_v3.0.json,Schema_shell,3.0,stable,"meta/solve/verify 外壳，兼容 L1"
SOP_TypeRouting_DSA_v4.3.2-student-max-top-tutoring.json,Routing,4.3.2,stable,"subject×question_type 决策与门控"
SOP_v4.3.2_subject_profiles.json,Profiles,4.3.2,stable,"学生画像/学科策略"
L2_Student_Renderer_v2.3.1_with_switch.json,Renderer,2.3.1,stable,"学生端渲染契约；步进/分页/净化"
L2_Student_Renderer_SOP_v2.1.json,Renderer,2.1,archived,"历史版本（并入2.3.1）"
L2_Student_Renderer_v2.2_Daily.json,Renderer_profile,2.2,stable,"日常两页模式；继承 Master"
SOP_master_v4.5.1-ABTest.json,Master_core,4.5.1,stable,"L1/L2 分层；AB 内部状态机，不对学生暴露"
SOP_master_v4.4.0.json,Master_core,4.4.0,archived,"早期主干；可参考"
SOP_v4.3.4_oneshot_integrated.json,Integrated,4.3.4,archived,"一次性集成输出，供对照"
SOP_NoDrift_CN_v3.8.json,Guardrails,3.8,stable,"语言与越纲闸门"
SOP_Full_v5.1.json,Full_suite,5.1,archived,"全量说明；与 LOCK 融合处参考"
SOP_Full_v5.1_Explainer.md,Explainer,5.1,archived,"解释文"
student_ai_sop_v_15.json,Other,15,draft,"外部生成示例，非主线"

